,nose_to_nose,noseA_to_rearB,noseB_to_rearA,proximity,velocity_A,velocity_B,angle_AtoB,angle_BtoA,speed_diff
1030,508.56797005906697,474.2378303762786,456.085573165826,448.2177202799997,11.797163430248835,40.14240094961933,1.0752563177470962,1.0423091612415316,28.345237519370492
1031,516.8971117369491,463.48378140448455,504.98821005841313,462.81400022471234,16.063097895487047,4.4687761188047785,1.357357728414595,0.768795290797426,11.594321776682268
1032,501.9722644499395,450.4356929873564,512.9293549339909,454.92853706269074,13.480890215412348,16.43903905342403,1.4409631422275178,0.7937960508671068,2.958148838011681
1033,507.9019184498125,452.4649787309511,535.8109069709201,462.00552057524163,27.855918473459116,5.17465148584906,1.5048255083354296,0.7707093624699487,22.681266987610055
1034,528.7173187450927,470.1684914676865,544.0480527049059,479.6721017966335,322.73431172095724,28.888900152134564,1.4082239439523334,0.788887933241593,293.84541156882267
1035,448.04529770325684,425.00113636083375,396.2314637746478,445.83888763991865,15.69177682737044,44.24173623401323,1.0292765143901788,1.6212323291181938,28.54995940664279
1036,439.28950200636484,447.5561913335576,406.492028739802,429.50686385784337,2.9343450717323587,19.637164382873582,0.9990261770719364,1.6536025754220816,16.702819311141223
1037,434.4141652225443,444.21052904450613,397.25401433591577,418.41148720488064,7.05393684406092,67.23228974979212,0.9766520720192262,1.6160299757402814,60.178352905731195
1038,374.2790180627282,434.99626293567167,374.9653289198883,370.1662996181581,3.6169503728970347,58.33201654323293,1.1027222258596645,1.4243890250203157,54.715066170335895
1039,320.1766032832506,398.98593368313124,340.6868961451262,334.76586514308775,1.4323051350881937,24.98135484716553,1.238135880776667,1.4714470849388404,23.549049712077338
1040,296.86827425644526,366.63316060062,342.7927948965673,325.130806982359,0.7772322690161564,70.21032404141147,1.4252546874352712,1.4078416753522311,69.43309177239531
1041,284.50492398726595,362.2324715869631,357.6543747530568,305.78056786689376,1.102376070132159,56.87572618437499,1.4808903531096056,1.2382086756884199,55.77335011424283
1042,305.23000317137894,287.30503595481923,389.8915215749119,302.4569529784362,0.5840214037173669,28.915364842934277,1.6635654937542252,0.9113653574645658,28.331343439216912
1043,331.48310214096887,262.04936158098155,423.24346144506467,317.4116922389596,0.3655475345287039,10.224759459273358,1.8263561714909928,0.6938567914181392,9.859211924744654
1044,336.93295600311944,273.6371339785593,423.8935879793418,323.604692161594,0.12559060474413739,9.175440261916597,1.7940935630246317,0.676289741350994,9.049849657172459
1045,350.5590946887557,277.06439693688543,431.27731771796203,326.1933712539236,10.763092956952454,2.0107046028693505,1.732650846804329,0.557402079876198,8.752388354083102
1046,388.39199673783185,312.963441425672,418.8504719932878,331.97710744116074,5.447434350223964,6.856195008895244,1.3780033589911658,0.411499587370665,1.4087606586712802
1047,407.33118130214393,333.29206434147216,424.3665317623434,340.8787491000282,370.82517073413453,40.07828505562583,1.235517003361175,0.575205086927341,330.7468856785087
1048,662.0025078691168,560.0461390537391,669.6828243773317,611.6721215365304,0.730988372000502,14.815913775397046,1.539295079456849,0.7349444484255193,14.084925403396545
1049,638.4188328370333,559.6853167021625,639.4101696814025,597.9260074892211,0.5432614471872882,2.812186693660293,1.526033785699918,1.0682000615703506,2.2689252464730045
1050,633.2165878433698,559.7519151767148,634.5179385021356,599.23279536504,0.4144828102587473,1.2054882828132378,1.541656540623653,1.1443947672121997,0.7910054725544906
1051,633.416362764651,558.63070193107,634.5596896195029,600.1773015676283,0.49921638594900475,0.22521101216414732,1.5382975404796244,1.157077828621248,0.27400537378485745
1052,630.4071071458505,556.1173732306877,634.4978065998338,599.9088545237518,0.24010206163214098,0.6096630216767354,1.565912531034056,1.157701271754868,0.3695609600445944
1053,630.8213313133917,556.3564873729792,634.8525753472218,599.58811327277,0.16555965692163088,0.208081714718032,1.564867764404198,1.1498841003914084,0.042522057796401114
